Date,Open,High,Low,Close,Adj Close,Volume
2008-04-23,755.200012,764.080017,750.479980,761.440002,761.440002,1059900
2008-04-24,747.200012,758.799988,736.479980,745.599976,745.599976,1388800
2008-04-25,759.520020,770.239990,756.400024,765.280029,765.280029,1125200
2008-04-28,766.960022,769.919983,762.000000,765.520020,765.520020,606200
2008-04-29,751.359985,756.239990,741.200012,743.919983,743.919983,950200
2008-04-30,748.640015,754.719971,730.479980,740.000000,740.000000,1191300
2008-05-01,726.239990,728.799988,711.119995,723.039978,723.039978,977400
2008-05-02,728.799988,750.719971,728.799988,747.200012,747.200012,861500
2008-05-05,761.840027,775.359985,760.880005,773.919983,773.919983,917200
2008-05-06,775.760010,790.719971,775.200012,787.039978,787.039978,947000
2008-05-07,785.840027,799.359985,776.960022,798.400024,798.400024,1692300
2008-05-08,796.000000,806.159973,786.400024,805.280029,805.280029,1225900
2008-05-09,814.000000,816.960022,805.520020,816.960022,816.960022,1524600
2008-05-12,806.559998,817.599976,800.559998,800.880005,800.880005,1256300
2008-05-13,800.960022,819.760010,799.840027,813.679993,813.679993,1497000
2008-05-14,809.840027,816.000000,800.000000,801.760010,801.760010,1138200
2008-05-15,816.000000,817.440002,781.520020,801.679993,801.679993,2030900
2008-05-16,822.880005,823.840027,810.719971,818.159973,818.159973,2208500
2008-05-19,819.599976,824.000000,810.080017,822.400024,822.400024,960300
2008-05-20,831.280029,836.960022,829.280029,834.400024,834.400024,1267500
2008-05-21,836.880005,866.479980,832.479980,866.479980,866.479980,2145600
2008-05-22,862.400024,866.880005,842.239990,845.039978,845.039978,2511000
2008-05-23,863.359985,865.760010,843.039978,855.599976,855.599976,1728400
2008-05-27,842.640015,847.200012,830.080017,834.080017,834.080017,1359100
2008-05-28,824.080017,852.000000,820.080017,847.359985,847.359985,1679600
2008-05-29,835.200012,862.400024,816.960022,818.080017,818.080017,2728800
2008-05-30,825.679993,830.880005,810.159973,824.479980,824.479980,1348800
2008-06-02,815.520020,837.679993,813.679993,824.400024,824.400024,1017900
2008-06-03,817.679993,821.520020,792.000000,805.200012,805.200012,1221800
2008-06-04,798.960022,823.919983,788.960022,791.840027,791.840027,1475800
2008-06-05,801.119995,831.599976,793.919983,831.599976,831.599976,1558600
